domainID,thirdParty,hipaaCompliant,usBased,FullName,Email,DOB,DeviceID,Gender,Phone,IPAddress,Fingerprint,Location,MedicalInfo
goodrx,0.0,0.0,1.0,{'com.goodrx'},{'com.goodrx'},set(),set(),set(),set(),set(),set(),{'com.goodrx'},set()
perimeterx,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
braze,1.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
stripe,1.0,0.0,1.0,{'com.hellodoctor.hellodoctor'},{'com.hellodoctor.hellodoctor'},set(),set(),set(),{'com.hellodoctor.hellodoctor'},set(),set(),set(),set()
grxweb,0.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
qualaroo,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
optimizely,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
branch,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),{'com.goodrx'},set()
ipify,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
google-analytics,1.0,0.0,1.0,{'com.goodrx'},{'com.goodrx'},set(),set(),set(),set(),set(),set(),set(),set()
appsflyersdk,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
heydoctor,0.0,0.0,1.0,{'com.goodrx'},{'com.goodrx'},set(),set(),set(),set(),set(),set(),set(),set()
grxstatic,0.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
googleadservices,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
doctime,0.0,0.0,0.0,{'com.media365ltd.doctime'},{'com.media365ltd.doctime'},set(),set(),set(),{'com.media365ltd.doctime'},set(),set(),set(),set()
medintu,0.0,0.0,0.0,{'com.medintu.MedintuIN'},{'com.medintu.MedintuIN'},{'com.medintu.MedintuIN'},set(),{'com.medintu.MedintuIN'},{'com.medintu.MedintuIN'},set(),set(),set(),set()
mzstatic,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
razorpay,1.0,0.0,0.0,"{'com.healthcoco.android', 'com.medintu.MedintuIN'}",{'com.medintu.MedintuIN'},set(),set(),set(),"{'com.healthcoco.android', 'com.medintu.MedintuIN'}",set(),set(),set(),set()
windows,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
myhealthathand,0.0,0.0,0.0,{'com.patient.myhealthathand'},{'com.patient.myhealthathand'},{'com.patient.myhealthathand'},set(),set(),{'com.patient.myhealthathand'},set(),set(),set(),set()
quickblox,1.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
ondoctorapp,0.0,0.0,0.0,set(),set(),{'com.mm.ondoctor'},set(),{'com.mm.ondoctor'},set(),set(),set(),set(),set()
vimeo,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),{'com.mm.ondoctor'},set()
lyflink,0.0,0.0,0.0,set(),set(),set(),set(),set(),{'com.lyflinkpatientapp'},set(),set(),{'com.lyflinkpatientapp'},set()
healthcoco,1.0,0.0,0.0,{'com.healthcoco.android'},{'com.healthcoco.android'},set(),set(),{'com.healthcoco.android'},{'com.healthcoco.android'},set(),set(),set(),set()
cloudfront,1.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
docplus,0.0,0.0,1.0,{'com.docplus'},{'com.docplus'},set(),set(),{'com.docplus'},{'com.docplus'},set(),set(),set(),set()
healwell24,0.0,0.0,0.0,set(),set(),set(),set(),set(),{'com.a.Healwell24'},set(),set(),set(),set()
leap,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
odoc,0.0,0.0,0.0,set(),set(),set(),set(),set(),{'com.developer.odoc'},set(),set(),set(),set()
wzrkt,1.0,0.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
clevertap-prod,1.0,1.0,1.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
appspot,1.0,0.0,1.0,{'com.wayuhealth.patient'},{'com.wayuhealth.patient'},{'com.wayuhealth.patient'},set(),{'com.wayuhealth.patient'},{'com.wayuhealth.patient'},set(),set(),set(),set()
wayumd,0.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
teladoc,0.0,1.0,1.0,{'com.advancemedical.onlinemedic'},{'com.advancemedical.onlinemedic'},set(),set(),{'com.advancemedical.onlinemedic'},set(),set(),set(),set(),set()
hellodoctor,0.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
run,1.0,0.0,1.0,{'com.hellodoctor.hellodoctor'},{'com.hellodoctor.hellodoctor'},set(),set(),set(),{'com.hellodoctor.hellodoctor'},set(),set(),set(),set()
onesignal,1.0,0.0,1.0,set(),set(),set(),set(),set(),{'com.secondconsult'},set(),set(),set(),set()
secondconsult,0.0,1.0,0.0,{'com.secondconsult'},{'com.secondconsult'},{'com.secondconsult'},set(),{'com.secondconsult'},{'com.secondconsult'},set(),set(),{'com.secondconsult'},set()
curetap,0.0,0.0,0.0,{'in.curetap.bookappointment.doctor'},{'in.curetap.bookappointment.doctor'},{'in.curetap.bookappointment.doctor'},set(),set(),{'in.curetap.bookappointment.doctor'},set(),set(),set(),set()
dokpam,0.0,0.0,0.0,{'com.dokpam'},set(),{'com.dokpam'},set(),{'com.dokpam'},{'com.dokpam'},set(),set(),{'com.dokpam'},set()
159.203.59.183,1.0,0.0,0.0,{'com.dokpam'},set(),{'com.dokpam'},set(),{'com.dokpam'},{'com.dokpam'},set(),set(),{'com.dokpam'},set()
shifaam,0.0,0.0,0.0,set(),set(),set(),set(),set(),{'com.shifaam.patient'},set(),set(),{'com.shifaam.patient'},set()
zoho,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
zohostatic,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
zohopublic,1.0,0.0,0.0,set(),set(),set(),set(),set(),set(),set(),set(),set(),set()
doctorlivebd,0.0,0.0,0.0,set(),set(),set(),set(),set(),{'com.mobu.drlivepatient'},set(),set(),set(),set()
